date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2020-10-01,us,"United States","Los Angeles Metropolitan Area","Design",Top Trending Jobs,"Project Manager",8.896875886251582,1
2020-10-01,us,"United States","Los Angeles Metropolitan Area","Design",Top Trending Skills,"Construction Management",-1,1
