date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2020-03-01,de,"Germany","Berlin Metropolitan Area","Design",Top Trending Jobs,"Architect",18.065881628193008,1
2020-03-01,de,"Germany","Berlin Metropolitan Area","Design",Top Trending Skills,"Architectural Design",-1,1
