date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2021-02-01,us,"United States","Rochester, New York Metropolitan Area","Education",Top Trending Employers,"Rochester Institute of Technology",3.308417852168523,1
2021-02-01,us,"United States","Rochester, New York Metropolitan Area","Education",Top Trending Employers,"University of Rochester",2.473401960293566,2
